Project ID,Project Name,ARB ID,Project Developer,Verifier,Project Type,Voluntary Status,ARB Status,Project Site Location,Project Site State,Project Site Country,Additional Certifications/SDGs,Total Number of Credits Registered ,Methodology / Protocol,Project Notes,Project Website,ACR Source Data,Updated 11-1-23,Total Projects:,684
ACR581,A-Gas V2,,The Nature Conservancy,SCS Global Services (Scientific Certification Systems),Wetland Restoration,Listed,Not ARB Eligible,San Joaquin County CA,CALIFORNIA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,,Restoration of California Deltaic and Coastal Wetlands,,,,,,
ACR582,A-Gas V3,CAOD5582,Hudson Technologies Company,"SES, Inc.",Ozone Depleting Substances,,Listed - Active ARB Project,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",56334.0,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,www.hudsontech.com,,,,
ACR583,A-Gas V4,,A-Gas US Inc.,Ruby Canyon Environment,Industrial Process Emissions,Completed,Not ARB Eligible,"Wood County, Bowling Green, Ohio",OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",23045.0,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",,www.agasamericas.com,,,,
ACR584,18 Reserves Forest Carbon Project,,A-Gas US Inc.,Ruby Canyon Environment,Industrial Process Emissions,Completed,Not ARB Eligible,"Wood County, Bowling Green, Ohio",OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",16515.0,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",,www.agasamericas.com,,,,
ACR585,Anew - North Maine Woods Forestry Project,,A-Gas US Inc.,Ruby Canyon Environment,Industrial Process Emissions,Completed,Not ARB Eligible,"Wood County, Bowling Green, Ohio",OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",94592.0,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",,www.agasamericas.com,,,,
ACR586,Anew - Big Six Forestry Project,,The Climate Trust,"Aster Global Environmental Solutions, Inc.",Forest Carbon,Registered,Not ARB Eligible,Near Cleveland,OHIO,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,302408.0,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,,,,,,
ACR587,Tradewater ODS 36,,Blue Source,Ruby Canyon Environment,Forest Carbon,Registered,Not ARB Eligible,"Somerset County, Maine",MAINE,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,428360.0,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,,,,,,
ACR588,Anew - Blue Ridge Escarpment Forestry Project,,Blue Source,Ruby Canyon Environment,Forest Carbon,Registered,Not ARB Eligible,Northern Maine,MAINE,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,137875.0,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,,,,,,
ACR589,Spray Foam Alpha,CAOD5589,"Tradewater, LLC","SES, Inc.",Ozone Depleting Substances,,Listed - Active ARB Project,East Liverpool,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",133145.0,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,,,,,
ACR590,Anew - Doyon Native Community Forest Project,,Blue Source,SCS Global Services (Scientific Certification Systems),Forest Carbon,Registered,Not ARB Eligible,Greenville,SOUTH CAROLINA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,61730.0,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,,,,,,
